Country,Beverage_Types,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Belize,All types,,6.58,6.56,6.66,6.64,6.76,6.85,7.22,7.24,6.48,6.25,6.2,5.67,4.99,4.9,4.79
Belize,Beer,,4.34,4.34,4.37,4.43,4.52,4.53,4.86,4.88,4.12,3.96,3.98,3.7,3.09,2.95,2.83
Belize,Wine,,0.2,0.17,0.2,0.14,0.13,0.17,0.14,0.16,0.12,0.14,0.12,0.15,0.11,0.14,0.14
Belize,Spirits,,1.89,1.89,1.93,1.92,1.96,1.96,2.07,2.08,2.14,2.1,2.08,1.82,1.79,1.8,1.82
Belize,Other alcoholic beverages,,0.15,0.16,0.16,0.15,0.16,0.19,0.15,0.13,0.11,0.06,0.02,0,0,0,0
Benin,All types,,,,,1.4,1.33,1.16,1.28,1.12,1.19,1.13,1.15,1.35,1.23,1.29,1.34
Benin,Beer,,,,,0.79,0.67,0.62,0.62,0.55,0.53,0.51,0.53,0.7,0.73,0.66,0.54
Benin,Wine,,,,,0.22,0.25,0.2,0.16,0.17,0.17,0.14,0.12,0.12,0.1,0.12,0.12
Benin,Spirits,,,,,0.16,0.16,0.15,0.25,0.1,0.19,0.16,0.15,0.19,0.02,0.13,0.31
Benin,Other alcoholic beverages,,,,,0.23,0.25,0.2,0.25,0.3,0.3,0.33,0.34,0.35,0.38,0.38,0.37
Bhutan,All types,,,,,0.23,0.28,0.17,0.21,0.16,0.29,0.73,0.96,0.52,0.29,0.14,0.17
Bhutan,Beer,,,,,0.18,0.11,0.12,0.13,0.12,0.25,0.36,0.62,0.49,0.29,0.14,0.17
Bhutan,Wine,,,,,0.05,0.07,0.02,0.06,0.02,0.02,0.01,0,0,0,0,0
Bhutan,Spirits,,,,,0,0.1,0.03,0.02,0.02,0.02,0.36,0.34,0.03,0,0,0
Bhutan,Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),All types,,3.62,3.78,3.89,3.93,3.95,3.87,3.77,3.47,3.23,2.86,2.66,2.37,2.26,2.2,2.32
Bolivia (Plurinational State of),Beer,,2.73,2.73,2.81,2.84,2.96,2.94,2.78,2.54,2.35,2.14,2,1.7,1.58,1.55,1.68
Bolivia (Plurinational State of),Wine,,0.03,0.17,0.22,0.24,0.23,0.23,0.27,0.25,0.25,0.14,0.1,0.1,0.06,0.06,0.07
Bolivia (Plurinational State of),Spirits,,0.82,0.83,0.82,0.81,0.74,0.69,0.71,0.66,0.62,0.58,0.56,0.57,0.62,0.59,0.56
Bolivia (Plurinational State of),Other alcoholic beverages,,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0
Bosnia and Herzegovina,All types,,4.03,4.12,4.61,4.64,4.54,4.75,5.13,5.16,4.82,4.56,4.25,4.14,3.84,3.85,3.64
Bosnia and Herzegovina,Beer,,3.2,3.28,3.5,3.43,3.33,3.5,3.8,3.77,3.57,3.34,3.03,2.87,2.65,2.61,2.57
Bosnia and Herzegovina,Wine,,0.15,0.15,0.39,0.45,0.45,0.51,0.56,0.6,0.47,0.43,0.42,0.42,0.33,0.4,0.21
Bosnia and Herzegovina,Spirits,,0.54,0.55,0.59,0.63,0.63,0.61,0.64,0.64,0.63,0.66,0.68,0.86,0.87,0.85,0.85
Bosnia and Herzegovina,Other alcoholic beverages,,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0,0,0,0
Botswana,All types,,,,,5.76,5.99,5.01,6.56,6.21,6.45,6.37,4.9,5.51,6.41,5.48,5.37
Botswana,Beer,,,,,2.39,3.36,2.35,2.22,2.68,2.67,2.58,2.47,2.39,2.6,2.69,2.3
Botswana,Wine,,,,,0.59,0.75,0.73,1.16,1.86,1.43,0.91,0.45,0.46,0.53,0.23,0.34
Botswana,Spirits,,,,,1.58,0.67,0.69,2.13,0.5,1.08,1.01,0,0.82,1.22,0.36,0.54
Botswana,Other alcoholic beverages,,,,,1.2,1.21,1.23,1.05,1.18,1.27,1.86,1.98,1.84,2.06,2.2,2.19
Brazil,All types,,7.32,7.24,7.55,7.58,7.52,7.33,7.21,7.19,7.1,6.97,6.85,6.95,7,7.13,7.26
Brazil,Beer,,4.64,4.45,4.61,4.49,4.42,4.15,3.84,3.74,3.56,3.36,3.22,3.18,3.32,3.34,3.33
Brazil,Wine,,0.27,0.27,0.33,0.42,0.4,0.39,0.37,0.38,0.41,0.5,0.4,0.4,0.3,0.29,0.31
Brazil,Spirits,,2.39,2.49,2.57,2.63,2.66,2.76,2.96,3.04,3.09,3.08,3.19,3.36,3.37,3.49,3.61
Brazil,Other alcoholic beverages,,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.01,0.01,0.01,0.01
Brunei Darussalam,All types,,,,,0.97,0.88,0.25,0.67,0.85,0.67,0.16,0.11,0.12,0.13,0.47,0.37
Brunei Darussalam,Beer,,,,,0.85,0.82,0.18,0.59,0.76,0.5,0.09,0.08,0.09,0.09,0.2,0.19
Brunei Darussalam,Wine,,,,,0.05,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.04,0.03
Brunei Darussalam,Spirits,,,,,0.05,0.03,0.05,0.05,0.06,0.11,0.05,0.01,0.02,0.03,0.23,0.15
Brunei Darussalam,Other alcoholic beverages,,,,,0.02,0.01,0.01,0.01,0.01,0.03,0,0,0,0,0,0.4
Bulgaria,All types,,12.03,12.06,10.99,10.67,10.8,10.93,10.98,10.89,10.39,10.48,10.96,11.19,10.2,10.72,9.69
Bulgaria,Beer,,4.31,4.27,4.3,4.09,4.01,4.03,4.41,4.41,3.96,3.56,3.52,3.3,2.98,3.22,2.99
Bulgaria,Wine,,2.87,2.86,1.65,1.37,1.73,2.02,1.73,1.7,1.58,1.95,2.09,2.93,2.34,2.73,2.05
Bulgaria,Spirits,,4.78,4.88,4.99,5.16,5.02,4.84,4.8,4.73,4.8,4.93,5.29,4.96,4.88,4.77,4.65
Bulgaria,Other alcoholic beverages,,0.08,0.06,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0,0,0,0
Burkina Faso,All types,,,4.64,4.75,4.51,4.55,4.55,4.5,4.58,4.73,4.88,4.54,4.58,4.53,4.56,3.71
Burkina Faso,Beer,,,0.67,0.63,0.53,0.46,0.46,0.46,0.45,0.44,0.44,0.42,0.41,0.41,0.39,0.4
Burkina Faso,Wine,,,0.1,0.18,0.16,0.12,0.08,0.07,0.07,0.09,0.09,0.1,0.07,0.08,0.08,0.04
Burkina Faso,Spirits,,,0.24,0.2,0.13,0.12,0.14,0.13,0.2,0.5,0.43,0.17,0.21,0.27,0.23,0.29
Burkina Faso,Other alcoholic beverages,,,3.63,3.73,3.68,3.84,3.86,3.84,3.85,3.7,3.92,3.85,3.89,3.77,3.86,2.99
Burundi,All types,,,,,4.16,4.16,4.05,4.33,4.54,4.5,5.54,5.72,5.84,5.98,6.09,6.61
Burundi,Beer,,,,,1.63,1.59,1.37,1.4,1.42,1.4,1.19,1.19,1.13,1.02,1,1.46
Burundi,Wine,,,,,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.01
Burundi,Spirits,,,,,0,0,0,0,0.01,0.01,0,0,0,0,0,0
Burundi,Other alcoholic beverages,,,,,2.51,2.56,2.68,2.93,3.11,3.1,4.34,4.51,4.7,4.95,5.07,5.14
Côte d'Ivoire,All types,,,3.15,3.24,3.13,3.15,2.92,2.69,2.58,2.65,3.11,3.08,3.12,3.13,3.15,3.45
Côte d'Ivoire,Beer,,,0.82,0.81,0.74,0.71,0.63,0.66,0.68,0.62,0.66,0.63,0.63,0.51,0.54,0.57
Côte d'Ivoire,Wine,,,0.24,0.27,0.27,0.26,0.25,0.12,0.14,0.2,0.24,0.33,0.33,0.34,0.29,0.26
Côte d'Ivoire,Spirits,,,0.01,0.05,0.03,0.02,0.02,0.02,0.01,0.02,0.05,0.04,0.04,0.04,0.04,0.04
Côte d'Ivoire,Other alcoholic beverages,,,2.08,2.11,2.1,2.16,2.03,1.89,1.75,1.81,2.17,2.08,2.12,2.23,2.28,2.58
Cabo Verde,All types,,,,,5.07,4.75,4.45,4.16,5.28,4.25,4.26,4.19,4.16,3.82,3.81,3.49
Cabo Verde,Beer,,,,,2.82,2.51,2.2,1.97,2.03,1.92,2.19,1.9,2.32,2.08,2.12,2.09
Cabo Verde,Wine,,,,,1.55,1.62,1.76,1.89,2.52,1.87,1.93,1.78,1.39,1.47,1.23,0.95
Cabo Verde,Spirits,,,,,0.7,0.61,0.48,0.31,0.73,0.46,0.14,0.51,0.44,0.26,0.46,0.45
Cabo Verde,Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0.01,0.01,0,0
Cambodia,All types,,,,,2.12,2.2,2.13,2.24,2.08,2.03,1.99,1.38,1.44,1.43,1.71,1.51
Cambodia,Beer,,,,,1.35,0.91,0.94,0.95,0.89,0.81,0.76,0.28,0.28,0.25,0.26,0.29
Cambodia,Wine,,,,,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0,0.01
Cambodia,Spirits,,,,,0.75,1.27,1.18,1.27,1.18,1.21,1.21,1.09,1.16,1.17,1.44,1.21
Cambodia,Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,All types,,,,,6.19,6.15,5.89,5.9,5.44,5.22,5.03,4.71,4.64,4.58,4.43,3.91
Cameroon,Beer,,,,,2.49,2.53,2.71,2.29,2.11,2.08,2.1,2.41,2.36,2.35,2.27,2.07
Cameroon,Wine,,,,,0.11,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.07
Cameroon,Spirits,,,,,0,0,0.01,0.06,0.06,0.05,0,0,0,0,0,0
Cameroon,Other alcoholic beverages,,,,,3.59,3.53,3.1,3.47,3.19,3.02,2.85,2.22,2.2,2.15,2.07,1.77
Canada,All types,,8.1,8.2,8.3,8.2,8.4,8.4,8.3,8.3,8.2,8,7.8,7.7,7.7,7.6,7.6
Canada,Beer,,3.8,3.9,4,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3
Canada,Wine,,2,2,2,1.9,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3
Canada,Spirits,,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2.1,2.1,2.1,2.1,2.1
Canada,Other alcoholic beverages,,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0
Central African Republic,All types,,,,,1.66,1.67,1.56,1.52,1.5,1.54,1.5,1.5,1.49,1.47,1.52,1.51
Central African Republic,Beer,,,,,0.33,0.29,0.3,0.32,0.28,0.27,0.22,0.26,0.28,0.3,0.38,0.42
Central African Republic,Wine,,,,,0.02,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.02,0.02,0.03,0.03
Central African Republic,Spirits,,,,,0.02,0.04,0.04,0.02,0.03,0.04,0.03,0.03,0.04,0.02,0.04,0.02
Central African Republic,Other alcoholic beverages,,,,,1.29,1.33,1.21,1.17,1.17,1.15,1.23,1.19,1.15,1.12,1.08,1.04
Chad,All types,,,0.64,0.62,0.56,0.5,0.47,0.45,0.42,0.41,0.42,0.34,0.42,0.36,0.3,0.25
Chad,Beer,,,0.43,0.38,0.38,0.32,0.31,0.3,0.27,0.23,0.24,0.23,0.25,0.22,0.18,0.17
Chad,Wine,,,0.05,0.05,0.02,0.02,0.01,0,0,0.01,0,0.01,0,0,0,0
Chad,Spirits,,,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0,0
Chad,Other alcoholic beverages,,,0.13,0.14,0.12,0.13,0.13,0.13,0.13,0.15,0.15,0.08,0.14,0.1,0.11,0.08
Chile,All types,,7.16,7.2,6.76,7.26,7.93,7.67,7.31,7.39,7.33,7.57,6.32,6.37,6.06,6.1,6.24
Chile,Beer,,2.65,2.6,2.48,2.46,2.37,2.32,2.43,2.34,2.26,2.01,1.83,1.8,1.76,1.78,1.79
Chile,Wine,,2.65,2.65,2.22,2.67,3.23,2.85,2.17,2.83,2.22,2.59,2.54,2.6,2.39,2.38,2.45
Chile,Spirits,,1.63,1.71,1.83,1.91,2.33,2.5,2.71,2.22,2.85,2.97,1.95,1.96,1.9,1.91,1.97
Chile,Other alcoholic beverages,,0.24,0.24,0.23,0.22,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0
China,All types,,5.78,5.79,5.74,5.63,5.75,4.88,4.27,3.88,3.28,2.92,3.04,2.96,2.91,2.84,3.06
China,Beer,,1.88,1.89,1.82,1.76,1.6,1.53,1.55,1.48,1.34,1.2,1.11,1.01,0.97,0.93,0.93
China,Wine,,0.17,0.19,0.22,0.22,0.17,0.1,0.08,0.08,0.06,0.05,0.18,0.19,0.14,0.14,0.14
China,Spirits,,3.72,3.71,3.7,3.65,3.98,3.25,2.64,2.31,1.88,1.67,1.75,1.77,1.8,1.77,1.99
China,Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,All types,,4.38,4.41,4.44,4.37,4.28,4.34,4.45,4.66,4.53,4.38,4.26,4.25,4.45,4.43,4.66
Colombia,Beer,,3.03,3.03,3.05,2.95,2.86,2.95,3.06,3.18,3.03,2.84,2.66,2.66,2.73,2.61,2.89
Colombia,Wine,,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03
Colombia,Spirits,,1.28,1.31,1.31,1.34,1.36,1.33,1.33,1.41,1.44,1.47,1.54,1.55,1.65,1.77,1.7
Colombia,Other alcoholic beverages,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03
Comoros,All types,,,,,0.12,0.15,0.17,0.12,0.16,0.25,0.24,0.27,0.26,0.08,0.08,0.09
Comoros,Beer,,,,,0.02,0.04,0.04,0.04,0.05,0.13,0.15,0.13,0.11,0.02,0.02,0.02
Comoros,Wine,,,,,0.05,0.03,0.02,0.02,0.04,0.02,0.02,0.05,0.05,0.02,0.03,0.03
Comoros,Spirits,,,,,0.05,0.08,0.1,0.06,0.07,0.09,0.06,0.08,0.1,0.04,0.04,0.03
Comoros,Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Congo,All types,,,,,3.82,3.53,3.47,2.58,2.75,2.25,2.03,2.58,2.45,2.55,2.3,2.26
Congo,Beer,,,,,3.27,2.9,2.86,1.96,2.15,1.76,1.54,1.72,1.72,1.75,1.54,1.6
Congo,Wine,,,,,0.21,0.28,0.27,0.33,0.23,0.27,0.23,0.32,0.21,0.27,0.3,0.23
Congo,Spirits,,,,,0.34,0.35,0.34,0.29,0.37,0.22,0.26,0.54,0.52,0.53,0.46,0.43
Congo,Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,All types,,,,,6.36,10.72,8.78,8.07,8.2,6.33,6.65,7.06,7.53,1.1,2.21,3.28
Cook Islands,Beer,,,,,2.43,2.07,3.06,2.36,2.94,2.65,2.75,3.06,2.46,0.55,1.25,0.48
Cook Islands,Wine,,,,,0.84,2.86,1.3,1.29,1.64,1.13,1.46,1.35,1.27,0.22,0.56,1.14
Cook Islands,Spirits,,,,,3.09,5.79,4.42,4.42,3.63,2.55,2.44,2.65,3.8,0.33,0.41,1.66
Cook Islands,Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,All types,,3.45,3.42,3.34,3.41,3.58,4.07,4.22,4.2,4.15,4.1,4.09,4.04,4.17,4.29,4.34
Costa Rica,Beer,,2.2,2.17,2.17,2.07,2.07,2.43,2.46,2.4,2.32,2.28,2.23,2.24,2.23,2.25,2.27
Costa Rica,Wine,,0.27,0.24,0.2,0.21,0.19,0.18,0.2,0.2,0.17,0.17,0.14,0.13,0.12,0.13,0.18
Costa Rica,Spirits,,0.95,0.98,0.93,1.09,1.28,1.42,1.53,1.56,1.62,1.61,1.69,1.67,1.81,1.91,1.89
Costa Rica,Other alcoholic beverages,,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0
Croatia,All types,,12.14,12.39,11.49,12.19,12.1,12.21,12.06,12.56,11.83,11.59,13.11,13.78,13.39,13.15,12.73
